id_alumno,nombre,apellido,sexo,fecha_nacimiento,perfil_academico,especialidad,email,telefono,id_facebook,id_crea
0,Florencia,Mejía,F,1989-02-01,licenciatura,docente,elvira.hernández@yahoo.com,924.776.302,30845450021040,3724475987
1,Sancho,Castellanos,F,1982-03-05,licenciatura,docente,olivia.paredes@hotmail.com,949 973 084,10845058421553,1813195575
2,Salvador,Meza,F,1988-03-22,licenciatura,docente,alicia.carreón@gmail.com,988 835 733,28348304880162,1880690317
3,Elena,Ulloa,F,1980-10-09,licenciatura,docente,marcos.villareal@yahoo.com,997-820-413,89824252511066,1729429900
4,Luisa,Reynoso,F,1980-03-24,licenciatura,docente,isabel.vela@yahoo.com,978 192 472,55204502881164,3160175533
5,Jerónimo,Bahena,F,1988-11-25,licenciatura,docente,alfonso.ávila@gmail.com,998-938-136,53662928957212,5496254004
6,Alicia,Cortés,M,1996-04-21,licenciatura,docente,pedro.cotto@yahoo.com,931 596 789,48026981932013,2268095279
7,María Luisa,Marrero,F,1992-02-16,licenciatura,docente,barbara.delagarza@yahoo.com,943687869,19807661144504,9868451914
8,Inés,Jimínez,F,1996-10-15,licenciatura,docente,octavio.esquivel@hotmail.com,962 022 806,62561279065986,1114352317
9,Isabel,Sáenz,F,1994-09-02,licenciatura,docente,blanca.orosco@yahoo.com,998 402 345,50751760519317,3768887546
10,Sergio,Abrego,F,1983-05-23,licenciatura,docente,elvira.echevarría@hotmail.com,917 137 655,81431738309451,8773759735
11,Mateo,Castro,M,1990-07-30,licenciatura,docente,benjamín.zavala@hotmail.com,951572564,17589899907641,6206532636
12,Sancho,Mateo,M,1984-08-19,licenciatura,docente,florencia.guajardo@yahoo.com,937.246.479,96735636194256,8787760847
13,Andrea,Delgado,M,1990-12-12,licenciatura,docente,lucia.cervantes@yahoo.com,922.143.457,31169946697432,4153671825
14,Virginia,Rivas,F,1995-03-29,licenciatura,docente,raquel.chávez@hotmail.com,936747546,40042067174565,6234257184
15,Francisca,Figueroa,F,1992-12-03,licenciatura,docente,raúl.castellanos@yahoo.com,961964708,87920200855111,2773152105
16,María Luisa,Alcala,F,1989-02-06,licenciatura,docente,gabriela.jaramillo@gmail.com,951.448.993,81905589066051,6525666158
17,Silvia,Salcedo,F,1996-12-01,licenciatura,docente,caridad.melgar@gmail.com,999-696-889,96007446584660,5006245658
18,Octavio,Arreola,M,1991-04-15,licenciatura,docente,maría.gaona@gmail.com,969498382,65367946921261,7747051503
19,Mateo,Ulibarri,M,1994-08-27,licenciatura,docente,berta.solís@gmail.com,957409953,44490245000402,6041602644
20,Clara,Carrasquillo,F,1982-03-13,licenciatura,docente,claudia.rendón@gmail.com,954 600 565,60840810866812,2741465675
21,Beatriz,Toledo,M,1987-01-29,licenciatura,docente,lucas.segovia@hotmail.com,920 960 433,65762538051294,8870958634
22,Joaquín,Bermúdez,M,1996-01-06,licenciatura,docente,jorge.baca@hotmail.com,903.806.185,24299372252995,8209748410
23,Gabriela,Matías,M,1994-09-21,licenciatura,docente,miguel.calvillo@hotmail.com,920767250,30359093697313,6819938228
24,Alicia,Alfaro,M,1981-01-06,licenciatura,docente,diana.lemus@gmail.com,958-915-137,91599759017329,5236066913
25,Rosario,Padilla,F,1997-10-08,licenciatura,docente,sergio.olmos@gmail.com,927-856-001,78043414454564,9564050263
26,María Cristina,Limón,M,1980-09-11,licenciatura,docente,felipe.palacios@yahoo.com,969-784-118,91695427927574,5841113384
27,Gustavo,Gaitán,F,1981-04-07,licenciatura,docente,amalia.varela@gmail.com,925 197 393,72198076055528,3713297479
28,María Eugenia,Rojas,M,1987-09-15,licenciatura,docente,maría cristina.báez@gmail.com,995-920-389,92446539222070,6696173143
29,Ramiro,Galván,F,1985-08-07,licenciatura,docente,cristobal.elizondo@gmail.com,934 062 856,47507796094052,6413298448
